domain,metric,observed,modeled,tolerance,forcing_class,phase,weight,year,region,unit,source,tolerance_absolute,constraint_refs,notes
energy,Gross electricity generation,366.3216,331.9804,0.1,E,calibration,2,2020,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break
energy,Gross electricity generation,382.014,336.0149,0.1,E,calibration,2,2021,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break
energy,Gross electricity generation,401.4576,351.6933,0.1,E,calibration,2,2022,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break
energy,Gross electricity generation,424.8144,372.777,0.1,E,calibration,2,2023,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break
energy,Gross electricity generation,456.9876,395.7969,0.1,E,calibration,2,2024,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,exogenous final electricity demands; residual stocks; availability; costs,10% tolerance reflects national aggregation and the documented 2020 boundary break
energy,Natural-gas electricity generation,68.616,62.8636,0.15,E,calibration,1,2021,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation
energy,Natural-gas electricity generation,64.3824,55.4642,0.15,E,calibration,1,2022,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation
energy,Natural-gas electricity generation,60.0048,38.3862,0.15,E,calibration,1,2023,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation
energy,Natural-gas electricity generation,64.9692,1.6374,0.15,E,calibration,1,2024,Philippines,PJ,SRC_PHL_DOE_2024_POWER_SUMMARY,,gas extraction envelope; residual gas stock; plant availability; VOM; take-or-pay economics,15% tolerance reflects annual copperplate aggregation and plant-class representation
energy,National natural-gas consumption,146.0359669,146.596,0.05,E,calibration,1,2020,Philippines,PJ,SRC_PHL_DOE_NATGAS_DEVELOPMENT_PLAN,,domestic gas deliverability; gas-consuming technologies; processing efficiency and cost,"Observed 133,606 MMSCF converted with the existing v33 full-precision gas conversion."
energy,National coal consumption,725.99112,642.3756,0.1,E,calibration,1,2020,Philippines,PJ,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,,power and industry service demands; coal supply/trade; processing efficiency and cost,Observed 17.34 MTOE converted at 41.868 PJ/MTOE; the 10% tolerance is declared independently of the model result.
land,Irrigated rice area,20.06,20.06,0.1,J,calibration,1,2020,Philippines,1000 km2,SRC_PSA_SSAF_2022,,PHL_AGR_IRRIGATION residual service stock; no minimum use,The observation sets a justified initial infrastructure stock; solved use may be lower but binds in v33.
land,Rainfed rice harvested area,14.6544173,10.4468,0.1,E,calibration,1,2020,Philippines,1000 km2,SRC_PSA_SSAF_2022,,rice final demand; cluster yields; land and water availability; crop costs,
land,Irrigated rice production,14.57176519,15.2556,0.1,E,calibration,1,2020,Philippines,Mt,SRC_PSA_SSAF_2022,,total rice final demand; endogenous regime and cluster allocation,
land,Rainfed rice production,4.72309035,4.0392,0.2,E,calibration,1,2020,Philippines,Mt,SRC_PSA_SSAF_2022,,total rice final demand; endogenous regime and cluster allocation,
land,Total rice production,19.29485554,19.2948,0.001,H,calibration,1,2020,Philippines,Mt,SRC_PSA_SSAF_2022,,Specified/accumulated rice demand,History-fixed total; retained to disclose forcing and excluded from fit credit by the comparison scorer.
climate,Energy GHG emissions including transport,129.286,128.8966,0.1,E,calibration,2,2020,Philippines,MtCO2e,SRC_PHL_BTR_2024_TABLE15,,endogenous activity; physical emission factors; energy service demands and stocks,Official rounded table gives 99.854+29.431=129.285 Mt; NDC implementation table reports 129.286 Mt.
climate,Rice cultivation CH4,26.985,24.24249967,0.15,E,calibration,1,2020,Philippines,MtCO2e,SRC_PHL_V22_GHGI,,endogenous irrigated/rainfed and cluster allocation; calibrated EARs,"Same inventory calibrated the EAR levels; this is calibration-period fit, not independent validation."
climate,Managed-soil direct and indirect N2O,9.152,5.576300331,0.2,E,calibration,1,2020,Philippines,MtCO2e,SRC_PHL_V22_GHGI,,endogenous managed crop activity; calibrated average soil factor,Same inventory calibrated the factor; livestock/manure and crop-specific fertilizer rates are absent.
nexus,"Agriculture, forestry and fisheries final energy use",18.3716784,50.5285,0.15,E,calibration,2,2020,Philippines,PJ,SRC_PHL_V22_DOE_2024_AFF,,sector service demands; technology efficiencies; endogenous energy-carrier mix,Model includes agriculture and fisheries explicitly; forestry end-use energy is not separately represented.
nexus,"Electricity share of agriculture, forestry and fisheries energy",0.656,0.3315910823,0.15,E,calibration,1,2020,Philippines,fraction,SRC_PHL_V22_DOE_2024_AFF,0.1,sector service demands; technology efficiencies; endogenous carrier choice,
